Flight	Flight Time	Entry	Data
40961	0	49031	
8193	0	49105	
28673	0	49178	
49153	0	49251	
4097	0	49325	
32769	0	49398	
61441	0	49471	
24577	0	49545	
53249	0	49618	
1	0	58	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.356178 ] m  East: [ -0.286235 ] m  Down: [ 1.37017 ] m 
16385	0	49692	
28673	0	49849	
61441	0	49922	
16385	0	49996	
20481	0	50069	
40961	0	50142	
61441	0	50215	
16385	0	50289	
36865	0	50362	
1	0	50436	
1	862910538	59	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.349619 ] m  East: [ -0.264088 ] m  Down: [ 1.37513 ] m 
28673	0	50509	
49153	0	50669	
16385	0	50743	
45057	0	50816	
8193	0	50890	
36865	0	50963	
1	0	51037	
16385	0	51110	
36865	0	51183	
1	0	51257	
1	809177652	60	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.363141 ] m  East: [ -0.28298 ] m  Down: [ 1.39197 ] m 
28673	0	51330	
28673	27	51489	
61441	0	51562	
32769	0	51635	
53249	0	51708	
8193	0	51782	
28673	0	51855	
57345	0	51928	
20481	0	52002	
49153	0	52075	
1	0	61	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.375613 ] m  East: [ -0.177287 ] m  Down: [ 1.41634 ] m 
12289	0	52149	
12289	145	52308	
45057	0	52381	
1	0	52455	
20481	0	52528	
40961	0	52601	
4097	0	52675	
49153	0	52747	
12289	0	52821	
40961	0	52894	
1	0	62	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.393537 ] m  East: [ -0.19721 ] m  Down: [ 1.44468 ] m 
4097	0	52968	
24577	0	53127	
57345	0	53200	
28673	0	53273	
57345	0	53346	
20481	0	53420	
49153	0	53493	
12289	0	53567	
40961	0	53640	
4097	0	53714	
1	0	63	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.412846 ] m  East: [ -0.18704 ] m  Down: [ 1.47211 ] m 
32769	0	53787	
4097	0	53919	
36865	0	53992	
57345	0	54065	
12289	0	54139	
40961	0	54212	
45057	0	54285	
8193	0	54359	
36865	0	54432	
1	0	54506	
1	2908413730	64	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.433383 ] m  East: [ -0.19084 ] m  Down: [ 1.48464 ] m 
28673	0	54579	
20481	0	54693	
53249	0	54766	
16385	0	54840	
36865	0	54913	
57345	0	54986	
12289	0	55060	
40961	0	55133	
4097	0	55207	
32769	0	55280	
1	0	65	POSITIONSTATE (ID: 4AFDB658-0, 12 BYTES, single) Data:  North: [ 0.4391 ] m  East: [ -0.195298 ] m  Down: [ 1.49002 ] m 
