Flight	Flight Time	Entry	Data
3	0	10804	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
8193	0	53450	
8193	130	53648	
12289	0	53720	
32769	0	53793	
61441	0	53866	
24577	0	53940	
53249	0	54013	
16385	0	54087	
45057	0	54160	
3	0	10805	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
8193	0	54234	
4097	0	54432	
24577	0	54505	
45057	0	54578	
1	0	54652	
28673	0	54725	
8193	0	54798	
36865	0	54871	
1	0	54945	
3	0	10806	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
28673	0	55018	
36865	0	55216	
57345	0	55289	
40961	0	55362	
4097	0	55436	
32769	0	55509	
61441	0	55582	
24577	0	55656	
53249	0	55729	
3	0	10807	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
16385	0	55803	
24577	0	56001	
45057	0	56074	
1	0	56148	
20481	0	56221	
49153	0	56294	
28673	0	56367	
57345	0	56440	
20481	0	56514	
3	0	10808	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
49153	0	56587	
32769	0	56785	
53249	0	56858	
20481	0	56931	
49153	0	57004	
12289	0	57078	
40961	0	57151	
4097	0	57225	
32769	0	57298	
3	0	10809	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.280589 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 158.533 ] degreesGroundspeed: [ 0.190273 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	57371	
53249	0	57569	
8193	0	57643	
36865	0	57716	
1	0	57790	
28673	0	57863	
57345	0	57935	
45057	0	58009	
8193	0	58083	
